,Iteration,Fitness,Time,State,pop_size,keep_pct,use_fast_mimic,max_iters,Population Size,Keep Percent
73,4,792.9632541671408,2.2399544430008973,[ 9  7 10  0  2  8 17 21 12  3  4 13  1 18 14 20  5 16  6 11 19 15],500,0.5,True,4096,500,0.5
74,8,781.6641303011693,4.446077092999985,[16  3  7  0  1 14 17  2 19 18  5  8 20  9 12 10  4  6 13 11 15 21],500,0.5,True,4096,500,0.5
75,16,702.9129288216812,8.88171018399953,[ 0  3  6  1 17 18  8  2 19 15  5 12 14  9 20 16 21  7 13  4 11 10],500,0.5,True,4096,500,0.5
76,32,655.5974893150919,17.83878090500002,[10 13  4  6 16 21 20  1  2 18  8 19 17  9 14  0 12  5 15  7  3 11],500,0.5,True,4096,500,0.5
77,64,655.5974893150919,36.752799781999784,[10 13  4  6 16 21 20  1  2 18  8 19 17  9 14  0 12  5 15  7  3 11],500,0.5,True,4096,500,0.5
78,128,655.5974893150919,75.0507097310001,[10 13  4  6 16 21 20  1  2 18  8 19 17  9 14  0 12  5 15  7  3 11],500,0.5,True,4096,500,0.5
79,256,655.5974893150919,151.44688285800112,[10 13  4  6 16 21 20  1  2 18  8 19 17  9 14  0 12  5 15  7  3 11],500,0.5,True,4096,500,0.5
80,512,655.5974893150919,303.7501770500003,[10 13  4  6 16 21 20  1  2 18  8 19 17  9 14  0 12  5 15  7  3 11],500,0.5,True,4096,500,0.5
81,1024,655.5974893150919,607.4590202600011,[10 13  4  6 16 21 20  1  2 18  8 19 17  9 14  0 12  5 15  7  3 11],500,0.5,True,4096,500,0.5
82,2048,655.5974893150919,1248.895696904001,[10 13  4  6 16 21 20  1  2 18  8 19 17  9 14  0 12  5 15  7  3 11],500,0.5,True,4096,500,0.5
83,4096,655.5974893150919,2693.06448164,[10 13  4  6 16 21 20  1  2 18  8 19 17  9 14  0 12  5 15  7  3 11],500,0.5,True,4096,500,0.5
