,Iteration,Fitness,Time,State,pop_size,keep_pct,use_fast_mimic,max_iters,Population Size,Keep Percent
43,1,1430.0,0.19525228200018319,"[17. 12. 11. 18. 18. 17. 12. 19. 19. 17. 17.  7. 17.  5.  7.  6. 15.  5.
  5.  7. 14. 13.  0. 12.  9. 19. 14. 19. 11. 15. 18.  9. 14.  4. 19.]",300,0.5,True,4096,300,0.5
44,2,1430.0,0.37982682300003034,"[17. 12. 11. 18. 18. 17. 12. 19. 19. 17. 17.  7. 17.  5.  7.  6. 15.  5.
  5.  7. 14. 13.  0. 12.  9. 19. 14. 19. 11. 15. 18.  9. 14.  4. 19.]",300,0.5,True,4096,300,0.5
45,4,1501.0,0.750462146000018,"[ 7. 14. 11. 17. 18. 14. 14. 15. 17.  4. 12.  5. 12.  9.  1.  9. 16. 14.
  8. 12.  7. 19. 18. 10. 19. 17.  8. 19.  7. 17. 19. 12.  7. 11. 19.]",300,0.5,True,4096,300,0.5
46,8,1590.0,1.4673769130001801,"[ 6. 12. 11. 11. 19. 17.  7.  4. 10. 13. 19.  0. 18. 11.  6. 17. 15. 19.
 18.  8. 14. 19. 16.  3. 19. 15. 18. 19.  4. 16. 15.  9. 15. 17. 16.]",300,0.5,True,4096,300,0.5
47,16,1662.0,2.6119992630001434,"[11. 12. 11. 11. 19. 17. 17. 12. 19.  6. 19.  0. 18. 11. 14.  4. 18. 18.
  5. 16. 14. 19. 16.  3. 19.  8. 19. 19.  4. 19. 17. 18. 15. 11. 16.]",300,0.5,True,4096,300,0.5
48,32,1669.0,5.057063486000061,"[11. 12. 10. 11. 19. 17. 18. 12. 19.  6. 19.  0. 18. 11. 14.  4. 18. 19.
  5. 16. 14. 19. 16.  3. 19.  8. 18. 13.  4. 19. 14. 18. 15. 17. 16.]",300,0.5,True,4096,300,0.5
49,64,1669.0,11.845078907000016,"[11. 12. 10. 11. 19. 17. 18. 12. 19.  6. 19.  0. 18. 11. 14.  4. 18. 19.
  5. 16. 14. 19. 16.  3. 19.  8. 18. 13.  4. 19. 14. 18. 15. 17. 16.]",300,0.5,True,4096,300,0.5
50,128,1669.0,25.96157306400005,"[11. 12. 10. 11. 19. 17. 18. 12. 19.  6. 19.  0. 18. 11. 14.  4. 18. 19.
  5. 16. 14. 19. 16.  3. 19.  8. 18. 13.  4. 19. 14. 18. 15. 17. 16.]",300,0.5,True,4096,300,0.5
51,256,1669.0,55.045122135000156,"[11. 12. 10. 11. 19. 17. 18. 12. 19.  6. 19.  0. 18. 11. 14.  4. 18. 19.
  5. 16. 14. 19. 16.  3. 19.  8. 18. 13.  4. 19. 14. 18. 15. 17. 16.]",300,0.5,True,4096,300,0.5
52,512,1669.0,111.69192166700009,"[11. 12. 10. 11. 19. 17. 18. 12. 19.  6. 19.  0. 18. 11. 14.  4. 18. 19.
  5. 16. 14. 19. 16.  3. 19.  8. 18. 13.  4. 19. 14. 18. 15. 17. 16.]",300,0.5,True,4096,300,0.5
53,1024,1669.0,224.54404422200014,"[11. 12. 10. 11. 19. 17. 18. 12. 19.  6. 19.  0. 18. 11. 14.  4. 18. 19.
  5. 16. 14. 19. 16.  3. 19.  8. 18. 13.  4. 19. 14. 18. 15. 17. 16.]",300,0.5,True,4096,300,0.5
54,2048,1669.0,224.54404422200014,"[11. 12. 10. 11. 19. 17. 18. 12. 19.  6. 19.  0. 18. 11. 14.  4. 18. 19.
  5. 16. 14. 19. 16.  3. 19.  8. 18. 13.  4. 19. 14. 18. 15. 17. 16.]",300,0.5,True,4096,300,0.5
55,4096,1669.0,224.54404422200014,"[11. 12. 10. 11. 19. 17. 18. 12. 19.  6. 19.  0. 18. 11. 14.  4. 18. 19.
  5. 16. 14. 19. 16.  3. 19.  8. 18. 13.  4. 19. 14. 18. 15. 17. 16.]",300,0.5,True,4096,300,0.5
56,0,1064.0,0.018382625000185726,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",500,0.25,True,4096,500,0.25
57,1,1445.0,0.1898358210000879,"[ 8. 12.  5. 16.  7. 17. 16.  8. 19. 11. 18. 13. 19. 10.  9.  8. 17.  5.
  5. 12. 19. 15. 16. 15.  4.  9. 12.  0. 19. 11.  5. 14. 18. 19.  6.]",500,0.25,True,4096,500,0.25
58,2,1517.0,0.3376680850001321,"[ 9. 18.  8. 13. 19. 15. 16.  8. 10.  3.  6.  0. 16.  8. 14.  6. 17. 15.
  5. 15. 15. 18. 16. 15. 17. 14. 14. 13. 18. 16. 12. 13. 19. 10. 12.]",500,0.25,True,4096,500,0.25
59,4,1580.0,0.6305762560000403,"[17. 14.  4. 15. 18. 15. 19. 10. 18.  0. 18.  8. 19. 19.  9. 13. 13.  9.
  0. 19. 17. 19. 16.  8.  5. 17. 12. 11.  6. 15. 10.  1. 13. 19. 18.]",500,0.25,True,4096,500,0.25
60,8,1701.0,1.1696721830001025,"[ 3.  1.  2. 19. 18. 19. 19. 10. 19.  0. 13.  3. 18. 14. 13. 16. 14. 16.
  4. 19. 18. 19. 18.  8. 19. 17. 19. 16.  0. 18. 10. 17. 16. 18.  9.]",500,0.25,True,4096,500,0.25
61,16,1733.0,2.2550763960000495,"[ 3.  1.  2. 19. 18. 19. 19. 12. 19.  0. 17.  3. 18. 17. 13. 16. 14. 16.
  4. 16. 18. 19. 19.  8. 19. 17. 19. 16.  0. 19. 10. 17. 16. 18.  9.]",500,0.25,True,4096,500,0.25
62,32,1737.0,6.621561117000056,"[ 3.  1.  3. 19. 18. 19. 19. 12. 19.  0. 17.  3. 18. 14. 13. 16. 14. 11.
  4. 19. 19. 19. 19.  8. 17. 17. 19. 16.  8. 19. 10.  9. 16. 18. 18.]",500,0.25,True,4096,500,0.25
63,64,1737.0,17.69955998400019,"[ 3.  1.  3. 19. 18. 19. 19. 12. 19.  0. 17.  3. 18. 14. 13. 16. 14. 11.
  4. 19. 19. 19. 19.  8. 17. 17. 19. 16.  8. 19. 10.  9. 16. 18. 18.]",500,0.25,True,4096,500,0.25
64,128,1749.0,39.38348886200015,"[ 3.  1.  3. 19. 18. 19. 19. 12. 19.  0. 17.  3. 18. 14. 13. 16. 14. 16.
  4. 16. 18. 19. 19.  8. 19. 17. 19. 16.  0. 19. 10. 17. 16. 18. 18.]",500,0.25,True,4096,500,0.25
65,256,1749.0,82.78952923500015,"[ 3.  1.  3. 19. 18. 19. 19. 12. 19.  0. 17.  3. 18. 14. 13. 16. 14. 16.
  4. 16. 18. 19. 19.  8. 19. 17. 19. 16.  0. 19. 10. 17. 16. 18. 18.]",500,0.25,True,4096,500,0.25
66,512,1749.0,169.911887299,"[ 3.  1.  3. 19. 18. 19. 19. 12. 19.  0. 17.  3. 18. 14. 13. 16. 14. 16.
  4. 16. 18. 19. 19.  8. 19. 17. 19. 16.  0. 19. 10. 17. 16. 18. 18.]",500,0.25,True,4096,500,0.25
67,1024,1749.0,343.40838692400007,"[ 3.  1.  3. 19. 18. 19. 19. 12. 19.  0. 17.  3. 18. 14. 13. 16. 14. 16.
  4. 16. 18. 19. 19.  8. 19. 17. 19. 16.  0. 19. 10. 17. 16. 18. 18.]",500,0.25,True,4096,500,0.25
68,2048,1749.0,364.32921186199997,"[ 3.  1.  3. 19. 18. 19. 19. 12. 19.  0. 17.  3. 18. 14. 13. 16. 14. 16.
  4. 16. 18. 19. 19.  8. 19. 17. 19. 16.  0. 19. 10. 17. 16. 18. 18.]",500,0.25,True,4096,500,0.25
