,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value
53,1,1060.0,0.0004836810001052072,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",250,2048,250,geometric,250,0.99,0.001,249.99878471382962
54,2,1090.0,0.0008586390001710242,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9 13  3  8 19]",250,2048,250,geometric,250,0.99,0.001,249.99784260672658
55,4,1124.0,0.0013576559999819438,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  3  8 19]",250,2048,250,geometric,250,0.99,0.001,249.99658879857947
56,8,1104.0,0.002132437000000209,"[ 7  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  5  5 19]",250,2048,250,geometric,250,0.99,0.001,249.99464213040523
57,16,1054.0,0.003418215000010605,"[ 7  0  3 19  7 14  8 14 10 18  7  6  3 16  7 12 13 11  3  1 16  5 16 11
  2  9 14  6  8 11  9  2  5  5 19]",250,2048,250,geometric,250,0.99,0.001,249.99141159533235
58,32,1026.0,0.005654584000012619,"[ 7  0  3 12 12 14 13 14 12  4  7  6 10 16  7 12 13  5  3  1 16  5  2 14
  2  9 14  8 16  7  9  2  5  5 19]",250,2048,250,geometric,250,0.99,0.001,249.98579278662714
59,64,1064.0,0.009975655000062034,"[12 15  3  7 12 11 13  9 12  4  9 11 10  9 16 12 17  5  9  1 16 12  2  1
  2 18 14 15 16  7  9  8  1  4 16]",250,2048,250,geometric,250,0.99,0.001,249.97493658565614
60,128,1170.0,0.020116675000053874,"[ 2 15  8  4 15 16  0  7 12  9  0  5 18  2  4 11 10  1 18  8 18 19 19 17
 12 18 18 15  9  4 15  8  1  9 17]",250,2048,250,geometric,250,0.99,0.001,249.9494602742148
61,256,1513.0,0.03792012400003841,"[13 14  5 16 13 15  9 19 11  9 10  5 18 14 17 14  7  7 12  8 17 17 19 11
 18  9  0 19 11 15 17 19 19  5 17]",250,2048,250,geometric,250,0.99,0.001,249.90474065784437
62,512,1555.0,0.07497513299995262,"[ 7 14 12 14 16 15 17 19 11  9 14  1 17 14 17 15  1  8 12  7 17 17 19 15
 17 18 12 10 11 16  6 19 17 14 17]",250,2048,250,geometric,250,0.99,0.001,249.81168964038963
63,1024,1559.0,0.16530065699998886,"[ 7 14 12 14 16 15 17 19 11  9 14  1 17 14 17 15  1  8 12  7 17 17 19 15
 17 18 12 10 11 17  6 19 17 14 17]",250,2048,250,geometric,250,0.99,0.001,249.5850130300874
64,2048,1559.0,0.16530065699998886,"[ 7 14 12 14 16 15 17 19 11  9 14  1 17 14 17 15  1  8 12  7 17 17 19 15
 17 18 12 10 11 17  6 19 17 14 17]",250,2048,250,geometric,250,0.99,0.001,249.5850130300874
65,0,1064.0,0.00011114799985989521,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",500,2048,500,geometric,500,0.99,0.001,499.99944146294797
66,1,1060.0,0.00047781099988242204,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",500,2048,500,geometric,500,0.99,0.001,499.99759892525356
67,2,1090.0,0.0225077989998681,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9 13  3  8 19]",500,2048,500,geometric,500,0.99,0.001,499.88690732224677
68,4,1124.0,0.023144201999912184,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  3  8 19]",500,2048,500,geometric,500,0.99,0.001,499.88371002387555
69,8,1104.0,0.024108736000016506,"[ 7  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  5  5 19]",500,2048,500,geometric,500,0.99,0.001,499.8788642293436
70,16,1054.0,0.02545753699996567,"[ 7  0  3 19  7 14  8 14 10 18  7  6  3 16  7 12 13 11  3  1 16  5 16 11
  2  9 14  6  8 11  9  2  5  5 19]",500,2048,500,geometric,500,0.99,0.001,499.87208796585315
71,32,999.0,0.02770737199989526,"[ 7  0  3 12 12 14 13 14 12  4  7  6 10 16  7 12 13  5  3  1 16  5  2 14
  2  9 14  8 16  7  9  2  5  5 10]",500,2048,500,geometric,500,0.99,0.001,499.86078518725384
72,64,1067.0,0.031972010999879785,"[12 15  3  7 12 11 13  9 12  4  9 11 10  9 16 12 17  5  9  1 16 12  2  1
  2 18 14 15 16  7  9  8  1  4 17]",500,2048,500,geometric,500,0.99,0.001,499.83936108615865
73,128,1005.0,0.04070533599997361,"[ 2 15  8  4 15 16  0  7 12  9  0  5  2  2  4 11 10  1 18  8 18  2 19 17
 12 18 18 15  9  4 15  8  1  9 17]",500,2048,500,geometric,500,0.99,0.001,499.7954906865527
74,256,1287.0,0.0595396209998853,"[11 13  6  5 13 18  9  7 11  5 10  1  2 14 17 14 18  8 15  8 17 17 17  7
  0  9  0 19 19  6 17 19 11  7 17]",500,2048,500,geometric,500,0.99,0.001,499.70089290692914
75,512,1502.0,0.09747602699985691,"[ 7 15  6 19 17 18 12  7  2  3 19  1  4 14 12 13 18  8 15 15 17 15 16  7
 16 18  6 18 15 16 17  6 10 14 17]",500,2048,500,geometric,500,0.99,0.001,499.5104064539239
76,1024,1561.0,0.19372856299992236,"[ 7  6  6 19 17 18 12  7  2  5 19  1 14 14 13 13 18  8 15 15 17 15 17  7
 16 18  6 19 15 17 17  6 11 14 17]",500,2048,500,geometric,500,0.99,0.001,499.0274285623118
77,2048,1561.0,0.2323499039998751,"[ 7  6  6 19 17 18 12  7  2  5 19  1 14 14 13 13 18  8 15 15 17 15 17  7
 16 18  6 19 15 17 17  6 11 14 17]",500,2048,500,geometric,500,0.99,0.001,498.83376493749887
78,0,1064.0,0.00013605399999505607,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",1000,2048,1000,geometric,1000,0.99,0.001,999.9986326125407
79,1,1060.0,0.0006078690000776987,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",1000,2048,1000,geometric,1000,0.99,0.001,999.9938907310559
80,2,1090.0,0.0011696800002027885,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9 13  3  8 19]",1000,2048,1000,geometric,1000,0.99,0.001,999.9882443922545
81,4,1124.0,0.0019141440000112198,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  3  8 19]",1000,2048,1000,geometric,1000,0.99,0.001,999.980762394973
82,8,1104.0,0.002792972000179361,"[ 7  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  5  5 19]",1000,2048,1000,geometric,1000,0.99,0.001,999.9719300873361
83,16,1054.0,0.004198684000130015,"[ 7  0  3 19  7 14  8 14 10 18  7  6  3 16  7 12 13 11  3  1 16  5 16 11
  2  9 14  6  8 11  9  2  5  5 19]",1000,2048,1000,geometric,1000,0.99,0.001,999.9578027059868
