,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value
78,0,1211.1046030266018,9.9521000038294e-05,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],1000,2048,1000,geometric,1000,0.99,0.001,999.9989997810253
79,1,1210.120124734893,0.00042064400008712255,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],1000,2048,1000,geometric,1000,0.99,0.001,999.9957723954607
80,2,1234.3281782612792,0.0022763420001865597,[ 1  5  3 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  2  7 15],1000,2048,1000,geometric,1000,0.99,0.001,999.9771222600801
81,4,1252.3081672804815,0.0027946280001742707,[17  5  3 21 19 12 11  0 10  6 18 16 13 20  1  9  8 14  4  2  7 15],1000,2048,1000,geometric,1000,0.99,0.001,999.9719134444474
82,8,1232.867674753482,0.0036178950001612975,[17  5  0 21 19 12 11  3 16  6  2  8 13 20  1  9 10 14  4 18  7 15],1000,2048,1000,geometric,1000,0.99,0.001,999.9636396012211
83,16,1039.6542732342214,0.005036699000129374,[17 14  0  5 19 13  4  3 16  6  8  2 10 20  1  9 18 21 11 15  7 12],1000,2048,1000,geometric,1000,0.99,0.001,999.9493807646525
84,32,1046.2426317814372,0.0077034380001350655,[17  9  7 19  4 18 20 14 12  6  8  1 10  3  5 11 16 21 15  2  0 13],1000,2048,1000,geometric,1000,0.99,0.001,999.9225808578884
85,64,1155.3503615216594,0.012842228000181422,[11  2  5 17 16 19  6 15  0  4  3  1 10 20  8 14  7 13 21 18  9 12],1000,2048,1000,geometric,1000,0.99,0.001,999.8709396244979
86,128,1049.116516487977,0.023558385000114868,[ 0 18  3 19 11  4 12 13 10 15 20  5  1 14 17  8  9  7 21 16  6  2],1000,2048,1000,geometric,1000,0.99,0.001,999.7632583463118
87,256,1046.717507310966,0.044363641000018106,[18 16  3 17  0  7 10  5 12  8  1 15  9  4 21  6 11  2 19 14 13 20],1000,2048,1000,geometric,1000,0.99,0.001,999.554229893296
88,512,705.818841219621,0.08467796300010377,[10 11  4 13  8  9  5 14  3  2 18 19  1 17  0 12  6 16 21 20 15  7],1000,2048,1000,geometric,1000,0.99,0.001,999.1493200659647
89,1024,576.711819781161,0.16989361100013411,[10 11  4 13  1  9  5 20 14  8 18 19  2 17 15 21  6 16 12  0  7  3],1000,2048,1000,geometric,1000,0.99,0.001,998.2939690781164
90,2048,522.2995626619884,0.4006751920001079,[ 3 10  4 13 17  9  5 20 14  8 18  2 19  1 11  6 21 15 12  0  7 16],1000,2048,1000,geometric,1000,0.99,0.001,995.9811769230404
91,0,1211.1046030266018,0.00010070000007544877,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],2500,2048,2500,geometric,2500,0.99,0.001,2499.997469829227
92,1,1210.120124734893,0.0004311289999350265,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],2500,2048,2500,geometric,2500,0.99,0.001,2499.9891675453546
93,2,1234.3281782612792,0.0008100840000224707,[ 1  5  3 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  2  7 15],2500,2048,2500,geometric,2500,0.99,0.001,2499.9796460421826
94,4,1252.3081672804815,0.0013250550000520889,[17  5  3 21 19 12 11  0 10  6 18 16 13 20  1  9  8 14  4  2  7 15],2500,2048,2500,geometric,2500,0.99,0.001,2499.966707102248
95,8,1232.867674753482,0.0021536120000291703,[17  5  0 21 19 12 11  3 16  6  2  8 13 20  1  9 10 14  4 18  7 15],2500,2048,2500,geometric,2500,0.99,0.001,2499.945889275856
96,16,1039.6542732342214,0.0035795730000245385,[17 14  0  5 19 13  4  3 16  6  8  2 10 20  1  9 18 21 11 15  7 12],2500,2048,2500,geometric,2500,0.99,0.001,2499.9100618406574
97,32,1046.2426317814372,0.006284165999886682,[17  9  7 19  4 18 20 14 12  6  8  1 10  3  5 11 16 21 15  2  0 13],2500,2048,2500,geometric,2500,0.99,0.001,2499.842110038913
98,64,1155.3503615216594,0.011469831999875169,[11  2  5 17 16 19  6 15  0  4  3  1 10 20  8 14  7 13 21 18  9 12],2500,2048,2500,geometric,2500,0.99,0.001,2499.711827450505
99,128,1070.8318964491802,0.021801916999947935,[ 4  8 10  6  0 12 13 11 17 19  5 20  2  3  7 14  9 15 21 18 16  1],2500,2048,2500,geometric,2500,0.99,0.001,2499.452268540467
100,256,1053.9699371723646,0.04306203100009043,[12 21 16 15  6 20  1 19  2  7 14 18  5  3 13 10  8  4  0 11  9 17],2500,2048,2500,geometric,2500,0.99,0.001,2498.918264412695
